datetime,zone,carbon_intensity
2026-08-06T21:00:00.000Z,DE,336
2026-08-06T22:00:00.000Z,DE,340
2026-08-06T23:00:00.000Z,DE,342
2026-08-07T00:00:00.000Z,DE,353
2026-08-07T01:00:00.000Z,DE,364
2026-08-07T02:00:00.000Z,DE,367
2026-08-07T03:00:00.000Z,DE,364
2026-08-07T04:00:00.000Z,DE,348
2026-08-07T05:00:00.000Z,DE,329
2026-08-07T06:00:00.000Z,DE,291
2026-08-07T07:00:00.000Z,DE,241
2026-08-07T08:00:00.000Z,DE,172
2026-08-07T09:00:00.000Z,DE,151
2026-08-07T10:00:00.000Z,DE,142
2026-08-07T11:00:00.000Z,DE,142
2026-08-07T12:00:00.000Z,DE,143
2026-08-07T13:00:00.000Z,DE,159
2026-08-07T14:00:00.000Z,DE,187
2026-08-07T15:00:00.000Z,DE,254
2026-08-07T16:00:00.000Z,DE,316
2026-08-07T17:00:00.000Z,DE,382
2026-08-07T18:00:00.000Z,DE,424
2026-08-07T19:00:00.000Z,DE,450
2026-08-07T20:00:00.000Z,DE,460
2026-08-07T21:00:00.000Z,DE,474
2026-08-07T22:00:00.000Z,DE,486
2026-08-07T23:00:00.000Z,DE,503
2026-08-08T00:00:00.000Z,DE,505
2026-08-08T01:00:00.000Z,DE,504
2026-08-08T02:00:00.000Z,DE,510
2026-08-08T03:00:00.000Z,DE,509
2026-08-08T04:00:00.000Z,DE,474
2026-08-08T05:00:00.000Z,DE,401
2026-08-08T06:00:00.000Z,DE,297
2026-08-08T07:00:00.000Z,DE,183
2026-08-08T08:00:00.000Z,DE,142
2026-08-08T09:00:00.000Z,DE,136
2026-08-08T10:00:00.000Z,DE,133
2026-08-08T11:00:00.000Z,DE,132
2026-08-08T12:00:00.000Z,DE,136
2026-08-08T13:00:00.000Z,DE,143
2026-08-08T14:00:00.000Z,DE,159
2026-08-08T15:00:00.000Z,DE,208
2026-08-08T16:00:00.000Z,DE,321
2026-08-08T17:00:00.000Z,DE,396
2026-08-08T18:00:00.000Z,DE,425
2026-08-08T19:00:00.000Z,DE,428
2026-08-08T20:00:00.000Z,DE,413
2026-08-08T21:00:00.000Z,DE,394
2026-08-08T22:00:00.000Z,DE,379
2026-08-08T23:00:00.000Z,DE,372
2026-08-09T00:00:00.000Z,DE,372
2026-08-09T01:00:00.000Z,DE,378
2026-08-09T02:00:00.000Z,DE,384
2026-08-09T03:00:00.000Z,DE,382
2026-08-09T04:00:00.000Z,DE,364
2026-08-09T05:00:00.000Z,DE,320
2026-08-09T06:00:00.000Z,DE,247
2026-08-09T07:00:00.000Z,DE,170
2026-08-09T08:00:00.000Z,DE,142
2026-08-09T09:00:00.000Z,DE,133
2026-08-09T10:00:00.000Z,DE,129
2026-08-09T11:00:00.000Z,DE,128
2026-08-09T12:00:00.000Z,DE,129
2026-08-09T13:00:00.000Z,DE,134
2026-08-09T14:00:00.000Z,DE,153
2026-08-09T15:00:00.000Z,DE,224
2026-08-09T16:00:00.000Z,DE,317
2026-08-09T17:00:00.000Z,DE,394
2026-08-09T18:00:00.000Z,DE,434
2026-08-09T19:00:00.000Z,DE,452
2026-08-09T20:00:00.000Z,DE,453
2026-08-09T21:00:00.000Z,DE,473
2026-08-09T22:00:00.000Z,DE,476
2026-08-09T23:00:00.000Z,DE,486
2026-08-10T00:00:00.000Z,DE,505
2026-08-10T01:00:00.000Z,DE,491
2026-08-10T02:00:00.000Z,DE,489
2026-08-10T03:00:00.000Z,DE,469
2026-08-10T04:00:00.000Z,DE,415
2026-08-10T05:00:00.000Z,DE,363
2026-08-10T06:00:00.000Z,DE,302
2026-08-10T07:00:00.000Z,DE,242
2026-08-10T08:00:00.000Z,DE,181
2026-08-10T09:00:00.000Z,DE,135
2026-08-10T10:00:00.000Z,DE,116
2026-08-10T11:00:00.000Z,DE,116
2026-08-10T12:00:00.000Z,DE,118
2026-08-10T13:00:00.000Z,DE,119
2026-08-10T14:00:00.000Z,DE,134
2026-08-10T15:00:00.000Z,DE,174
2026-08-10T16:00:00.000Z,DE,230
2026-08-10T17:00:00.000Z,DE,295
2026-08-10T18:00:00.000Z,DE,337
2026-08-10T19:00:00.000Z,DE,357
2026-08-10T20:00:00.000Z,DE,347
2026-08-10T21:00:00.000Z,DE,351
2026-08-10T22:00:00.000Z,DE,354
2026-08-10T23:00:00.000Z,DE,364
2026-08-11T00:00:00.000Z,DE,369
2026-08-11T01:00:00.000Z,DE,369
2026-08-11T02:00:00.000Z,DE,373
2026-08-11T03:00:00.000Z,DE,378
2026-08-11T04:00:00.000Z,DE,360
2026-08-11T05:00:00.000Z,DE,318
2026-08-11T06:00:00.000Z,DE,259
2026-08-11T07:00:00.000Z,DE,194
2026-08-11T08:00:00.000Z,DE,144
2026-08-11T09:00:00.000Z,DE,137
2026-08-11T10:00:00.000Z,DE,134
2026-08-11T11:00:00.000Z,DE,140
2026-08-11T12:00:00.000Z,DE,143
2026-08-11T13:00:00.000Z,DE,141
2026-08-11T14:00:00.000Z,DE,165
2026-08-11T15:00:00.000Z,DE,241
2026-08-11T16:00:00.000Z,DE,325
2026-08-11T17:00:00.000Z,DE,387
2026-08-11T18:00:00.000Z,DE,425
2026-08-11T19:00:00.000Z,DE,434
2026-08-11T20:00:00.000Z,DE,438
2026-08-11T21:00:00.000Z,DE,450
2026-08-11T22:00:00.000Z,DE,466
2026-08-11T23:00:00.000Z,DE,482
2026-08-12T00:00:00.000Z,DE,492
2026-08-12T01:00:00.000Z,DE,496
2026-08-12T02:00:00.000Z,DE,499
2026-08-12T03:00:00.000Z,DE,493
2026-08-12T04:00:00.000Z,DE,456
2026-08-12T05:00:00.000Z,DE,409
2026-08-12T06:00:00.000Z,DE,358
2026-08-12T07:00:00.000Z,DE,289
2026-08-12T08:00:00.000Z,DE,210
2026-08-12T09:00:00.000Z,DE,157
2026-08-12T10:00:00.000Z,DE,148
2026-08-12T11:00:00.000Z,DE,150
2026-08-12T12:00:00.000Z,DE,153
2026-08-12T13:00:00.000Z,DE,163
2026-08-12T14:00:00.000Z,DE,226
2026-08-12T15:00:00.000Z,DE,321
2026-08-12T16:00:00.000Z,DE,396
2026-08-12T17:00:00.000Z,DE,454
2026-08-12T18:00:00.000Z,DE,472
2026-08-12T19:00:00.000Z,DE,465
2026-08-12T20:00:00.000Z,DE,460
2026-08-12T21:00:00.000Z,DE,457
2026-08-12T22:00:00.000Z,DE,460
2026-08-12T23:00:00.000Z,DE,469
2026-08-13T00:00:00.000Z,DE,476
2026-08-13T01:00:00.000Z,DE,494
2026-08-13T02:00:00.000Z,DE,495
2026-08-13T03:00:00.000Z,DE,490
2026-08-13T04:00:00.000Z,DE,461
2026-08-13T05:00:00.000Z,DE,404
2026-08-13T06:00:00.000Z,DE,349
2026-08-13T07:00:00.000Z,DE,273
2026-08-13T08:00:00.000Z,DE,206
2026-08-13T09:00:00.000Z,DE,147
2026-08-13T10:00:00.000Z,DE,141
2026-08-13T11:00:00.000Z,DE,141
2026-08-13T12:00:00.000Z,DE,141
2026-08-13T13:00:00.000Z,DE,158
2026-08-13T14:00:00.000Z,DE,213
2026-08-13T15:00:00.000Z,DE,282
2026-08-13T16:00:00.000Z,DE,355
2026-08-13T17:00:00.000Z,DE,410
2026-08-13T18:00:00.000Z,DE,426
2026-08-13T19:00:00.000Z,DE,404
2026-08-13T20:00:00.000Z,DE,383
2026-08-13T21:00:00.000Z,DE,370
2026-08-13T22:00:00.000Z,DE,370
2026-08-13T23:00:00.000Z,DE,374
2026-08-14T00:00:00.000Z,DE,394
2026-08-14T01:00:00.000Z,DE,409
2026-08-14T02:00:00.000Z,DE,418
2026-08-14T03:00:00.000Z,DE,417
2026-08-14T04:00:00.000Z,DE,392
2026-08-14T05:00:00.000Z,DE,362
2026-08-14T06:00:00.000Z,DE,316
2026-08-14T07:00:00.000Z,DE,258
2026-08-14T08:00:00.000Z,DE,202
2026-08-14T09:00:00.000Z,DE,168
2026-08-14T10:00:00.000Z,DE,151
2026-08-14T11:00:00.000Z,DE,143
2026-08-14T12:00:00.000Z,DE,153
2026-08-14T13:00:00.000Z,DE,177
2026-08-14T14:00:00.000Z,DE,237
2026-08-14T15:00:00.000Z,DE,310
2026-08-14T16:00:00.000Z,DE,372
2026-08-14T17:00:00.000Z,DE,420
2026-08-14T18:00:00.000Z,DE,444
2026-08-14T19:00:00.000Z,DE,447
2026-08-14T20:00:00.000Z,DE,451
2026-08-14T21:00:00.000Z,DE,452
2026-08-14T22:00:00.000Z,DE,448
2026-08-14T23:00:00.000Z,DE,462
2026-08-15T00:00:00.000Z,DE,467
2026-08-15T01:00:00.000Z,DE,470
2026-08-15T02:00:00.000Z,DE,477
2026-08-15T03:00:00.000Z,DE,467
2026-08-15T04:00:00.000Z,DE,446
2026-08-15T05:00:00.000Z,DE,380
2026-08-15T06:00:00.000Z,DE,296
2026-08-15T07:00:00.000Z,DE,232
2026-08-15T08:00:00.000Z,DE,185
2026-08-15T09:00:00.000Z,DE,171
2026-08-15T10:00:00.000Z,DE,161
2026-08-15T11:00:00.000Z,DE,151
2026-08-15T12:00:00.000Z,DE,156
2026-08-15T13:00:00.000Z,DE,182
2026-08-15T14:00:00.000Z,DE,215
2026-08-15T15:00:00.000Z,DE,264
2026-08-15T16:00:00.000Z,DE,321
2026-08-15T17:00:00.000Z,DE,367
2026-08-15T18:00:00.000Z,DE,393
2026-08-15T19:00:00.000Z,DE,405
2026-08-15T20:00:00.000Z,DE,422
2026-08-15T21:00:00.000Z,DE,448
2026-08-15T21:00:00.000Z,DE,448
2026-08-15T22:00:00.000Z,DE,472
2026-08-15T23:00:00.000Z,DE,491
2026-08-16T00:00:00.000Z,DE,497
2026-08-16T01:00:00.000Z,DE,500
2026-08-16T02:00:00.000Z,DE,496
2026-08-16T03:00:00.000Z,DE,494
2026-08-16T04:00:00.000Z,DE,491
2026-08-16T05:00:00.000Z,DE,455
2026-08-16T06:00:00.000Z,DE,365
2026-08-16T07:00:00.000Z,DE,280
2026-08-16T08:00:00.000Z,DE,193
2026-08-16T09:00:00.000Z,DE,147
2026-08-16T10:00:00.000Z,DE,139
2026-08-16T11:00:00.000Z,DE,139
2026-08-16T12:00:00.000Z,DE,139
