datetime,zone,hour,day_of_week,carbon_lag_1,carbon_lag_2,carbon_lag_3,carbon_intensity,target_carbon
2026-08-07 00:00:00+00:00,DE,0,4,342.0,340.0,336.0,353,364.0
2026-08-07 01:00:00+00:00,DE,1,4,353.0,342.0,340.0,364,367.0
2026-08-07 02:00:00+00:00,DE,2,4,364.0,353.0,342.0,367,364.0
2026-08-07 03:00:00+00:00,DE,3,4,367.0,364.0,353.0,364,348.0
2026-08-07 04:00:00+00:00,DE,4,4,364.0,367.0,364.0,348,329.0
2026-08-07 05:00:00+00:00,DE,5,4,348.0,364.0,367.0,329,291.0
2026-08-07 06:00:00+00:00,DE,6,4,329.0,348.0,364.0,291,241.0
2026-08-07 07:00:00+00:00,DE,7,4,291.0,329.0,348.0,241,172.0
2026-08-07 08:00:00+00:00,DE,8,4,241.0,291.0,329.0,172,151.0
2026-08-07 09:00:00+00:00,DE,9,4,172.0,241.0,291.0,151,142.0
2026-08-07 10:00:00+00:00,DE,10,4,151.0,172.0,241.0,142,142.0
2026-08-07 11:00:00+00:00,DE,11,4,142.0,151.0,172.0,142,143.0
2026-08-07 12:00:00+00:00,DE,12,4,142.0,142.0,151.0,143,159.0
2026-08-07 13:00:00+00:00,DE,13,4,143.0,142.0,142.0,159,187.0
2026-08-07 14:00:00+00:00,DE,14,4,159.0,143.0,142.0,187,254.0
2026-08-07 15:00:00+00:00,DE,15,4,187.0,159.0,143.0,254,316.0
2026-08-07 16:00:00+00:00,DE,16,4,254.0,187.0,159.0,316,382.0
2026-08-07 17:00:00+00:00,DE,17,4,316.0,254.0,187.0,382,424.0
2026-08-07 18:00:00+00:00,DE,18,4,382.0,316.0,254.0,424,450.0
2026-08-07 19:00:00+00:00,DE,19,4,424.0,382.0,316.0,450,460.0
2026-08-07 20:00:00+00:00,DE,20,4,450.0,424.0,382.0,460,474.0
2026-08-07 21:00:00+00:00,DE,21,4,460.0,450.0,424.0,474,486.0
2026-08-07 22:00:00+00:00,DE,22,4,474.0,460.0,450.0,486,503.0
2026-08-07 23:00:00+00:00,DE,23,4,486.0,474.0,460.0,503,505.0
2026-08-08 00:00:00+00:00,DE,0,5,503.0,486.0,474.0,505,504.0
2026-08-08 01:00:00+00:00,DE,1,5,505.0,503.0,486.0,504,510.0
2026-08-08 02:00:00+00:00,DE,2,5,504.0,505.0,503.0,510,509.0
