datetime,provider,region,location,zone,carbon_intensity,is_estimated,flow_traced,emission_factor_type
2026-08-01T00:00:00Z,aws,af-south-1,Cape Town,ZA,720,False,True,lifecycle
2026-08-01T01:00:00Z,aws,af-south-1,Cape Town,ZA,719,False,True,lifecycle
2026-08-01T02:00:00Z,aws,af-south-1,Cape Town,ZA,715,False,True,lifecycle
2026-08-01T03:00:00Z,aws,af-south-1,Cape Town,ZA,718,False,True,lifecycle
2026-08-01T04:00:00Z,aws,af-south-1,Cape Town,ZA,720,False,True,lifecycle
2026-08-01T05:00:00Z,aws,af-south-1,Cape Town,ZA,713,False,True,lifecycle
2026-08-01T06:00:00Z,aws,af-south-1,Cape Town,ZA,689,False,True,lifecycle
2026-08-01T07:00:00Z,aws,af-south-1,Cape Town,ZA,667,False,True,lifecycle
2026-08-01T08:00:00Z,aws,af-south-1,Cape Town,ZA,672,False,True,lifecycle
2026-08-01T09:00:00Z,aws,af-south-1,Cape Town,ZA,676,False,True,lifecycle
2026-08-01T10:00:00Z,aws,af-south-1,Cape Town,ZA,673,False,True,lifecycle
2026-08-01T11:00:00Z,aws,af-south-1,Cape Town,ZA,675,False,True,lifecycle
2026-08-01T12:00:00Z,aws,af-south-1,Cape Town,ZA,676,False,True,lifecycle
2026-08-01T13:00:00Z,aws,af-south-1,Cape Town,ZA,692,False,True,lifecycle
2026-08-01T14:00:00Z,aws,af-south-1,Cape Town,ZA,719,False,True,lifecycle
2026-08-01T15:00:00Z,aws,af-south-1,Cape Town,ZA,746,False,True,lifecycle
2026-08-01T16:00:00Z,aws,af-south-1,Cape Town,ZA,740,False,True,lifecycle
2026-08-01T17:00:00Z,aws,af-south-1,Cape Town,ZA,754,False,True,lifecycle
2026-08-01T18:00:00Z,aws,af-south-1,Cape Town,ZA,761,False,True,lifecycle
2026-08-01T19:00:00Z,aws,af-south-1,Cape Town,ZA,767,False,True,lifecycle
2026-08-01T20:00:00Z,aws,af-south-1,Cape Town,ZA,773,False,True,lifecycle
2026-08-01T21:00:00Z,aws,af-south-1,Cape Town,ZA,769,False,True,lifecycle
2026-08-01T22:00:00Z,aws,af-south-1,Cape Town,ZA,762,False,True,lifecycle
2026-08-01T23:00:00Z,aws,af-south-1,Cape Town,ZA,759,False,True,lifecycle
2026-08-02T00:00:00Z,aws,af-south-1,Cape Town,ZA,757,False,True,lifecycle
2026-08-02T01:00:00Z,aws,af-south-1,Cape Town,ZA,758,False,True,lifecycle
2026-08-02T02:00:00Z,aws,af-south-1,Cape Town,ZA,755,False,True,lifecycle
2026-08-02T03:00:00Z,aws,af-south-1,Cape Town,ZA,757,False,True,lifecycle
2026-08-02T04:00:00Z,aws,af-south-1,Cape Town,ZA,763,False,True,lifecycle
2026-08-02T05:00:00Z,aws,af-south-1,Cape Town,ZA,749,False,True,lifecycle
2026-08-02T06:00:00Z,aws,af-south-1,Cape Town,ZA,716,False,True,lifecycle
2026-08-02T07:00:00Z,aws,af-south-1,Cape Town,ZA,684,False,True,lifecycle
2026-08-02T08:00:00Z,aws,af-south-1,Cape Town,ZA,687,False,True,lifecycle
2026-08-02T09:00:00Z,aws,af-south-1,Cape Town,ZA,684,False,True,lifecycle
2026-08-02T10:00:00Z,aws,af-south-1,Cape Town,ZA,685,False,True,lifecycle
2026-08-02T11:00:00Z,aws,af-south-1,Cape Town,ZA,687,False,True,lifecycle
2026-08-02T12:00:00Z,aws,af-south-1,Cape Town,ZA,691,False,True,lifecycle
2026-08-02T13:00:00Z,aws,af-south-1,Cape Town,ZA,699,False,True,lifecycle
2026-08-02T14:00:00Z,aws,af-south-1,Cape Town,ZA,721,False,True,lifecycle
2026-08-02T15:00:00Z,aws,af-south-1,Cape Town,ZA,748,False,True,lifecycle
2026-08-02T16:00:00Z,aws,af-south-1,Cape Town,ZA,751,False,True,lifecycle
2026-08-02T17:00:00Z,aws,af-south-1,Cape Town,ZA,753,False,True,lifecycle
2026-08-02T18:00:00Z,aws,af-south-1,Cape Town,ZA,760,False,True,lifecycle
2026-08-02T19:00:00Z,aws,af-south-1,Cape Town,ZA,771,False,True,lifecycle
2026-08-02T20:00:00Z,aws,af-south-1,Cape Town,ZA,788,False,True,lifecycle
2026-08-02T21:00:00Z,aws,af-south-1,Cape Town,ZA,782,False,True,lifecycle
2026-08-02T22:00:00Z,aws,af-south-1,Cape Town,ZA,776,False,True,lifecycle
2026-08-02T23:00:00Z,aws,af-south-1,Cape Town,ZA,773,False,True,lifecycle
2026-08-03T00:00:00Z,aws,af-south-1,Cape Town,ZA,772,False,True,lifecycle
2026-08-03T01:00:00Z,aws,af-south-1,Cape Town,ZA,770,False,True,lifecycle
2026-08-03T02:00:00Z,aws,af-south-1,Cape Town,ZA,770,False,True,lifecycle
2026-08-03T03:00:00Z,aws,af-south-1,Cape Town,ZA,768,False,True,lifecycle
2026-08-03T04:00:00Z,aws,af-south-1,Cape Town,ZA,760,False,True,lifecycle
2026-08-03T05:00:00Z,aws,af-south-1,Cape Town,ZA,738,False,True,lifecycle
2026-08-03T06:00:00Z,aws,af-south-1,Cape Town,ZA,728,False,True,lifecycle
2026-08-03T07:00:00Z,aws,af-south-1,Cape Town,ZA,709,False,True,lifecycle
2026-08-03T08:00:00Z,aws,af-south-1,Cape Town,ZA,696,False,True,lifecycle
2026-08-03T09:00:00Z,aws,af-south-1,Cape Town,ZA,689,False,True,lifecycle
2026-08-03T10:00:00Z,aws,af-south-1,Cape Town,ZA,682,False,True,lifecycle
2026-08-03T11:00:00Z,aws,af-south-1,Cape Town,ZA,681,False,True,lifecycle
2026-08-03T12:00:00Z,aws,af-south-1,Cape Town,ZA,684,False,True,lifecycle
2026-08-03T13:00:00Z,aws,af-south-1,Cape Town,ZA,694,False,True,lifecycle
2026-08-03T14:00:00Z,aws,af-south-1,Cape Town,ZA,715,False,True,lifecycle
2026-08-03T15:00:00Z,aws,af-south-1,Cape Town,ZA,740,False,True,lifecycle
2026-08-03T16:00:00Z,aws,af-south-1,Cape Town,ZA,733,False,True,lifecycle
2026-08-03T17:00:00Z,aws,af-south-1,Cape Town,ZA,735,False,True,lifecycle
2026-08-03T18:00:00Z,aws,af-south-1,Cape Town,ZA,739,False,True,lifecycle
2026-08-03T19:00:00Z,aws,af-south-1,Cape Town,ZA,738,False,True,lifecycle
2026-08-03T20:00:00Z,aws,af-south-1,Cape Town,ZA,747,False,True,lifecycle
2026-08-03T21:00:00Z,aws,af-south-1,Cape Town,ZA,738,False,True,lifecycle
2026-08-03T22:00:00Z,aws,af-south-1,Cape Town,ZA,730,False,True,lifecycle
2026-08-03T23:00:00Z,aws,af-south-1,Cape Town,ZA,720,False,True,lifecycle
2026-08-04T00:00:00Z,aws,af-south-1,Cape Town,ZA,714,False,True,lifecycle
2026-08-04T01:00:00Z,aws,af-south-1,Cape Town,ZA,713,False,True,lifecycle
2026-08-04T02:00:00Z,aws,af-south-1,Cape Town,ZA,722,False,True,lifecycle
2026-08-04T03:00:00Z,aws,af-south-1,Cape Town,ZA,731,False,True,lifecycle
2026-08-04T04:00:00Z,aws,af-south-1,Cape Town,ZA,725,False,True,lifecycle
2026-08-04T05:00:00Z,aws,af-south-1,Cape Town,ZA,720,False,True,lifecycle
2026-08-04T06:00:00Z,aws,af-south-1,Cape Town,ZA,691,False,True,lifecycle
2026-08-04T07:00:00Z,aws,af-south-1,Cape Town,ZA,677,False,True,lifecycle
2026-08-04T08:00:00Z,aws,af-south-1,Cape Town,ZA,668,False,True,lifecycle
2026-08-04T09:00:00Z,aws,af-south-1,Cape Town,ZA,667,False,True,lifecycle
2026-08-04T10:00:00Z,aws,af-south-1,Cape Town,ZA,664,False,True,lifecycle
2026-08-04T11:00:00Z,aws,af-south-1,Cape Town,ZA,659,False,True,lifecycle
2026-08-04T12:00:00Z,aws,af-south-1,Cape Town,ZA,668,False,True,lifecycle
2026-08-04T13:00:00Z,aws,af-south-1,Cape Town,ZA,692,False,True,lifecycle
2026-08-04T14:00:00Z,aws,af-south-1,Cape Town,ZA,724,False,True,lifecycle
2026-08-04T15:00:00Z,aws,af-south-1,Cape Town,ZA,739,False,True,lifecycle
2026-08-04T16:00:00Z,aws,af-south-1,Cape Town,ZA,738,False,True,lifecycle
